address,categories,primaryCategories,city,country,latitude,longitude,name,postalCode,province,Price range,Aggregate rating,Rating color,Rating text,Votes
2555 11th Avenue,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Greeley,US,40.39629,-104.69699,Carl's Jr.,80631,CO,3,4.8,Dark Green,Excellent,314
2513 Highway 6 And 50,"Restaurant,Mexican Restaurants,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Grand Junction,US,39.08135,-108.58689,Del Taco,81505,CO,3,4.5,Dark Green,Excellent,591
1125 Patterson Road,"Sandwich Shops,Fast Food Restaurants,Restaurants,Take Out Restaurants",Accommodation & Food Services,Grand Junction,US,39.09148,-108.55411,Which Wich,81506,CO,4,4.4,Green,Very Good,270
3455 N Salida Court,"Fast Food Restaurants,Mexican Restaurants,Restaurants,Take Out Restaurants",Accommodation & Food Services,Aurora,US,39.76369,-104.77671,Chipotle Mexican Grill,80011,CO,4,4.9,Dark Green,Excellent,365
5225 E Colfax Avenue,"Fast Food Restaurants,Mexican Restaurants,Restaurants",Accommodation & Food Services,Denver,US,39.74044,-104.92636,Taco Bell,80220,CO,4,4.8,Dark Green,Excellent,229
1350 W Colfax Avenue,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Accommodation & Food Services,Denver,US,39.73967,-105.00467,McDonald's,80204,CO,3,4.4,Green,Very Good,336
200 16th Street,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Accommodation & Food Services,Denver,US,39.7417,-104.98829,McDonald's,80202,CO,4,4,Green,Very Good,520
1772 N College Ave,"Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Karaoke,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Fayetteville,US,36.085369,-94.155319,Taco Bell,72703,AR,4,4.2,Green,Very Good,677
605 S Havana Street,"Fast Food Restaurants,American Restaurants,Family Style Restaurants,Restaurants,Seafood Restaurants",Accommodation & Food Services,Aurora,US,39.70534,-104.86633,Captain D's Seafood Kitchen,80012,CO,4,4.9,Dark Green,Excellent,621
16th Glenarm Place,"Mexican Restaurants,Caterers,Greek Restaurants,Mediterranean Restaurants,Latin American Restaurants,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Denver,US,39.749107,-104.99459,Shondiz,80202,CO,3,4.8,Dark Green,Excellent,532
201 W Fillmore Street,"Fast Food Restaurants,American Restaurants,Barbecue Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Colorado Springs,US,38.87469,-104.8257,Cook-Out,80907,CO,3,4.9,Dark Green,Excellent,1070
1560 Briargate Boulevard,"Burger Joint,American Restaurants,Breakfast,American Restaurant,Fast Food Restaurant,Traditional American,Fast Food Restaurants,Hamburgers,Restaurants",Accommodation & Food Services,Colorado Springs,US,38.94581,-104.79873,Steak 'n Shake,80920,CO,3,4.2,Green,Very Good,488
1916 Southgate Rd Space E8a,"Mexican Restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants",Accommodation & Food Services,Colorado Springs,US,38.80491,-104.81956,QDOBA Mexican Eats,80906,CO,3,4.8,Dark Green,Excellent,294
7140 N Academy Blvd Space B4,"Grill Restaurants,Mexican,Mexican Restaurants,Brunch,Food Delivery,Fast Food,Fast Food Restaurants,Take Out Restaurants,Catering,Restaurants",Accommodation & Food Services,Colorado Springs,US,38.93604,-104.79854,QDOBA Mexican Eats,80920,CO,3,4.2,Green,Very Good,458
11410 N Rodney Parham Rd,"Burger Joint,Restaurant,Fast Food Restaurant and Burger Joint Pleasant Valley,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurant and Burger Joint,Fast food restaurants,Restaurants",Accommodation & Food Services,Little Rock,US,34.772621,-92.400605,Burger King,72212,AR,3,4.3,Green,Very Good,223
1111 Highway 62 65 N,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast food restaurants,Restaurants",Accommodation & Food Services,Harrison,US,36.2597,-93.1265,Hardee's,72601,AR,3,3.6,Yellow,Good,29
211 Thorsheim St,"Carry-out food,Hotels and motels,Hotel and motel reservations,Resorts,Travel and Tourism,Fraternal Organizations,American Restaurant,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants",Accommodation & Food Services,Kodiak,US,57.791026,-152.40676,Shelikof Lodge Restaurant,99615,AK,3,4,Green,Very Good,72
2417 Tongass Ave Ste 120,"Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Karaoke,Restaurants",Accommodation & Food Services,Ketchikan,US,55.3484,-131.67413,Taco Time,99901,AK,3,4.5,Dark Green,Excellent,211
2695 Mill Bay Rd,"Carry-out food,Mexican Restaurants,Food and Beverage,Tex-mex restaurants,Southwestern restaurants,American restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Kodiak,US,57.80987,-152.36508,Taco Bell,99615,AK,2,4.5,Dark Green,Excellent,118
209 N Santa Claus Ln,"Mexican Restaurant,Carry-out food,Restaurant,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,American restaurants,Mexican restaurants,Restaurants",Accommodation & Food Services,North Pole,US,64.756076,-147.35411,Taco Bell,99705,AK,4,4.4,Green,Very Good,392
